uri,station,county,county_id,zone,name,timezone,elevation_ft,latitude,longitude,mail_address,mail_city,mail_state,mail_zipcode,phone,email
https://api.weather.gov/stations/CYER,CYER,,,,Fort Severn Airport,America/Toronto,49.215,56.0189,-87.6761,,,,,,
https://api.weather.gov/stations/CYWE,CYWE,,,,"Wekweeti Airport, Canada",America/Yellowknife,1204.127,64.1908,-114.0768,,,,,,
https://api.weather.gov/stations/CZSJ,CZSJ,,,,Sandy Lake,America/Winnipeg,948.209,53.0642,-93.3443999,,,,,,
https://api.weather.gov/stations/ESPA,ESPA,Rio Arriba,NMC039,NMZ102,ESPANOLA,America/Denver,5754.874,36.15,-105.99,2341 Clark Carr Loop SE,Albuquerque,NM,87106-5633,(505) 243-0702,sr-abq.webmaster@noaa.gov
https://api.weather.gov/stations/ETSI,ETSI,Gem,IDC045,IDZ400,Emmett I.D. Southside Canal,America/Boise,2500.122,43.925,-116.4402777,"National Interagency Fire Center
3833 S. Development Ave., Bldg 3807",Boise,ID,83705-5354,(208) 334-9860,w-boi.webmaster@noaa.gov
https://api.weather.gov/stations/FALI,FALI,Fremont,IDC043,IDZ410,"Falls River near Squirrel, ID",America/Boise,5587.543,44.0686111,-111.2402777,1945 Beechcraft Ave,Pocatello,ID,83204,(208) 233-0834,w-pih.webmaster@noaa.gov
https://api.weather.gov/stations/K04V,K04V,Saguache,COC109,COZ224,"Saguache, Saguache Municipal Airport",America/Denver,7825.185,38.09722,-106.16861,3 Eaton Way,Pueblo,CO,81001-4856,(719) 948-9429,w-pub.webmaster@noaa.gov
https://api.weather.gov/stations/K04W,K04W,Pine,MNC115,MNZ038,Hinckley Field of Dreams Airport,America/Chicago,1013.829,46.02437,-92.89905,5027 Miller Trunk Highway,Duluth,MN,55811-1442,218-729-6697 - Duluth; 218-283-4615 - Intl Falls,w-dlh.webmaster@noaa.gov
https://api.weather.gov/stations/K05U,K05U,Eureka,NVC011,NVZ454,Eureka Airport AWOS,America/Los_Angeles,5941.891,39.6020899,-116.00625,3720 Paradise Dr.,Elko,NV,89801,(775) 778-6716,w-lkn.webmaster@noaa.gov
https://api.weather.gov/stations/K06D,K06D,Rolette,NDC079,NDZ005,ROLLA,America/Chicago,1820.955,48.88,-99.62,"2301 University Drive, Building 27",Bismarck,ND,58504,701-250-4224,w-bis.webmaster@noaa.gov
https://api.weather.gov/stations/K08D,K08D,Mountrail,NDC061,NDZ010,Stanley Municipal Airport,America/Chicago,2240.923,48.3008,-102.4064,"2301 University Drive, Building 27",Bismarck,ND,58504,701-250-4224,w-bis.webmaster@noaa.gov
